DatePlayed,VisitorHome,Team,Q1,Q2,Q3,Q4,OT,EQ1,EQ2,EQ3,EQ4,EOG,EndingDigitQ1,EndingDigitQ2,EndingDigitQ3,EndingDigitQ4,EndingDigitFinal
9/14/2021,H,DEN,7,0,0,7,,7,7,7,14,14,7,7,7,4,4
9/14/2021,V,PIT,3,13,0,10,,3,16,16,26,26,3,6,6,6,6
9/14/2021,H,NYG,3,7,0,6,,3,10,10,16,16,3,0,0,6,6
9/17/2021,V,CIN,3,10,3,14,,3,13,16,30,30,3,3,6,0,0
9/17/2021,H,CLE,7,14,7,7,,7,21,28,35,35,7,1,8,5,5
9/20/2021,V,NE,7,7,3,13,,7,14,17,30,30,7,4,7,0,0
9/20/2021,H,SEA,7,7,14,7,,7,14,28,35,35,7,4,8,5,5
9/20/2021,V,BAL,3,17,3,10,,3,20,23,33,33,3,0,3,3,3
9/20/2021,H,HOU,0,10,0,6,,0,10,10,16,16,0,0,0,6,6
9/20/2021,V,KC,0,6,3,11,3,0,6,9,20,23,0,6,9,0,3
9/20/2021,H,LAC,7,7,3,3,0,7,14,17,20,20,7,4,7,0,0
9/20/2021,V,WAS,0,0,3,12,,0,0,3,15,15,0,0,3,5,5
9/20/2021,H,ARZ,14,6,0,10,,14,20,20,30,30,4,0,0,0,0
9/20/2021,V,ATL,20,9,0,10,,20,29,29,39,39,0,9,9,9,9
9/20/2021,H,DAL,0,10,14,16,,0,10,24,40,40,0,0,4,0,0
9/20/2021,V,BUF,7,10,0,14,,7,17,17,31,31,7,7,7,1,1
9/20/2021,H,MIA,7,3,3,15,,7,10,13,28,28,7,0,3,8,8
9/20/2021,V,CAR,0,0,7,10,,0,0,7,17,17,0,0,7,7,7
9/20/2021,H,TB,14,7,0,10,,14,21,21,31,31,4,1,1,1,1
9/20/2021,V,DEN,0,3,11,7,,0,3,14,21,21,0,3,4,1,1
9/20/2021,H,PIT,7,10,0,9,,7,17,17,26,26,7,7,7,6,6
9/20/2021,V,DET,14,0,0,7,,14,14,14,21,21,4,4,4,1,1
9/20/2021,H,GB,3,14,17,8,,3,17,34,42,42,3,7,4,2,2
9/20/2021,V,JAX,7,3,7,13,,7,10,17,30,30,7,0,7,0,0
9/20/2021,H,TEN,14,10,6,3,,14,24,30,33,33,4,4,0,3,3
9/20/2021,V,LAR,14,7,3,13,,14,21,24,37,37,4,1,4,7,7
9/20/2021,H,PHI,3,13,0,3,,3,16,16,19,19,3,6,6,9,9
9/20/2021,V,MIN,3,0,0,8,,3,3,3,11,11,3,3,3,1,1
9/20/2021,H,IND,0,15,3,10,,0,15,18,28,28,0,5,8,8,8
9/20/2021,V,NYG,0,0,3,10,,0,0,3,13,13,0,0,3,3,3
9/20/2021,H,CHI,10,7,0,0,,10,17,17,17,17,0,7,7,7,7
9/20/2021,V,SF,7,14,3,7,,7,21,24,31,31,7,1,4,1,1
9/20/2021,H,NYJ,3,0,3,7,,3,3,6,13,13,3,3,6,3,3
9/21/2021,V,NO,10,7,0,7,,10,17,17,24,24,0,7,7,4,4
9/21/2021,H,LV,0,17,7,10,,0,17,24,34,34,0,7,4,4,4
9/24/2021,V,MIA,14,7,7,3,,14,21,28,31,31,4,1,8,1,1
9/24/2021,H,JAX,0,7,0,6,,0,7,7,13,13,0,7,7,3,3
9/27/2021,V,GB,3,10,14,10,,3,13,27,37,37,3,3,7,7,7
9/27/2021,H,NO,7,10,10,3,,7,17,27,30,30,7,7,7,0,0
9/27/2021,V,DAL,9,6,7,9,,9,15,22,31,31,9,5,2,1,1
9/27/2021,H,SEA,9,14,7,8,,9,23,30,38,38,9,3,0,8,8
9/27/2021,V,DET,3,14,3,6,,3,17,20,26,26,3,7,0,6,6
9/27/2021,H,ARZ,7,6,10,0,,7,13,23,23,23,7,3,3,3,3
9/27/2021,V,TB,10,13,5,0,,10,23,28,28,28,0,3,8,8,8
9/27/2021,H,DEN,0,10,0,0,,0,10,10,10,10,0,0,0,0,0
9/27/2021,V,CAR,6,12,0,3,,6,18,18,21,21,6,8,8,1,1
9/27/2021,H,LAC,0,7,3,6,,0,7,10,16,16,0,7,0,6,6
9/27/2021,V,NYJ,7,0,0,0,,7,7,7,7,7,7,7,7,7,7
9/27/2021,H,IND,7,10,14,5,,7,17,31,36,36,7,7,1,6,6
9/27/2021,V,CHI,3,7,0,20,,3,10,10,30,30,3,0,0,0,0
9/27/2021,H,ATL,6,10,10,0,,6,16,26,26,26,6,6,6,6,6
9/27/2021,V,CIN,0,10,7,6,0,0,10,17,23,23,0,0,7,3,3
9/27/2021,H,PHI,0,13,3,7,0,0,13,16,23,23,0,3,6,3,3
9/27/2021,V,HOU,7,14,0,0,,7,21,21,21,21,7,1,1,1,1
9/27/2021,H,PIT,3,14,3,8,,3,17,20,28,28,3,7,0,8,8
9/27/2021,V,LV,3,7,0,10,,3,10,10,20,20,3,0,0,0,0
9/27/2021,H,NE,0,13,10,13,,0,13,23,36,36,0,3,3,6,6
9/27/2021,V,LAR,0,3,14,15,,0,3,17,32,32,0,3,7,2,2
9/27/2021,H,BUF,7,14,7,7,,7,21,28,35,35,7,1,8,5,5
9/27/2021,V,SF,6,10,7,13,,6,16,23,36,36,6,6,3,6,6
9/27/2021,H,NYG,0,6,3,0,,0,6,9,9,9,0,6,9,9,9
9/27/2021,V,TEN,6,3,16,6,,6,9,25,31,31,6,9,5,1,1
9/27/2021,H,MIN,7,10,7,6,,7,17,24,30,30,7,7,4,0,0
9/27/2021,V,WAS,7,0,13,0,,7,7,20,20,20,7,7,0,0,0
9/27/2021,H,CLE,0,17,0,17,,0,17,17,34,34,0,7,7,4,4
9/28/2021,V,KC,6,21,0,7,,6,27,27,34,34,6,7,7,4,4
9/28/2021,H,BAL,3,7,3,7,,3,10,13,20,20,3,0,3,0,0
10/1/2021,V,DEN,3,14,7,13,,3,17,24,37,37,3,7,4,7,7
10/1/2021,H,NYJ,7,6,3,12,,7,13,16,28,28,7,3,6,8,8
10/4/2021,V,PHI,8,0,3,14,,8,8,11,25,25,8,8,1,5,5
10/4/2021,H,SF,7,0,7,6,,7,7,14,20,20,7,7,4,0,0
10/4/2021,V,BUF,7,10,0,13,,7,17,17,30,30,7,7,7,0,0
10/4/2021,H,LV,3,10,3,7,,3,13,16,23,23,3,3,6,3,3
